epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,566.869,1.78755,4.12253,3.82006,0.0137,9.46651,0.33866,0.08366,0.07256,0.03767,0.28876,0.07161,0.054,0.02384,1.67707,3.79408,3.22006,0.01612,0,0.000300614,0.000300614,0.000300614
2,1074.58,1.68688,3.60183,2.98716,0.01272,4.09692,0.22979,0.18553,0.12311,0.0588,0.18967,0.13921,0.09196,0.0377,1.85398,3.88285,2.9359,0.01952,0,0.000583695,0.000583695,0.000583695
3,1583.69,1.71426,3.4783,2.66148,0.01306,2.87926,0.29595,0.21117,0.15839,0.07568,0.23725,0.16553,0.11961,0.04946,1.82024,3.72182,2.79364,0.01898,0,0.000846778,0.000846778,0.000846778
4,2094.18,1.70674,3.38854,2.53298,0.01327,2.67277,0.30324,0.23968,0.18247,0.08799,0.25998,0.19653,0.14111,0.05768,1.79254,3.80723,2.67396,0.01922,0,0.000819009,0.000819009,0.000819009
5,2604.02,1.68718,3.31151,2.4273,0.0131,2.53411,0.32151,0.24457,0.19123,0.09552,0.26487,0.19605,0.15056,0.06521,1.79535,3.6725,2.63769,0.01879,0,0.000789012,0.000789012,0.000789012
6,3117.36,1.67792,3.27714,2.36531,0.01269,2.47481,0.31717,0.24426,0.19606,0.09888,0.26971,0.20717,0.15849,0.06729,1.77781,3.54878,2.66819,0.01837,0,0.000759015,0.000759015,0.000759015
7,3630.32,1.67574,3.22778,2.31302,0.01268,2.39747,0.3475,0.26131,0.22327,0.11246,0.3012,0.22568,0.18311,0.07833,1.75539,3.45652,2.53124,0.01808,0,0.000729018,0.000729018,0.000729018
8,4138.25,1.66903,3.19563,2.26962,0.01257,2.32795,0.34097,0.25235,0.20832,0.10677,0.28788,0.2129,0.16204,0.06747,1.77789,3.59836,2.64114,0.01783,0,0.000699021,0.000699021,0.000699021
9,4647.17,1.65253,3.15708,2.23224,0.01256,2.2875,0.34285,0.26969,0.22073,0.11372,0.29429,0.22929,0.18001,0.07827,1.76067,3.52484,2.60985,0.01803,0,0.000669024,0.000669024,0.000669024
10,5156.46,1.6561,3.13768,2.21347,0.01246,2.27065,0.36457,0.25587,0.22552,0.11705,0.30911,0.21666,0.18003,0.07787,1.76409,3.52855,2.59828,0.01775,0,0.000639027,0.000639027,0.000639027
11,5672.41,1.65883,3.13783,2.18277,0.01244,2.23207,0.36667,0.27764,0.23688,0.1216,0.31815,0.23747,0.19312,0.08114,1.76113,3.48789,2.51831,0.01765,0,0.00060903,0.00060903,0.00060903
12,6181.84,1.64685,3.09218,2.14785,0.01237,2.21183,0.36503,0.28191,0.24511,0.12911,0.31858,0.24348,0.20439,0.0885,1.75271,3.44718,2.50825,0.01744,0,0.000579033,0.000579033,0.000579033
